Summary,Description,Test Type,Test Set,Precondition,Steps,Priority
Test Case ID,Description,Manual,DE-51713,Precondition,Steps | Expected: Expected Result,Priority
TC001,"Verify new service ""Register as Voluntary Contributor"" appears in service list for eligible user",Manual,DE-51713,"User is eligible (Saudi, age 18‑65, inactive contributor) and logged in","1. Navigate to service list. 2. Locate ""Register as Voluntary Contributor"". | Expected: Service ""Register as Voluntary Contributor"" is displayed",High
TC002,Verify popup message appears for ineligible user selecting the service,Manual,DE-51713,"User is ineligible (e.g., has active engagement with GOSI) and logged in","1. Navigate to service list. 2. Click on ""Register as Voluntary Contributor"". | Expected: Popup message: ""Person has an active engagement with GOSI, cannot be registered as a VIC."" (English/Arabic) appears",High
TC003,Verify registration form is displayed after selecting the service for an eligible user,Manual,DE-51713,"Eligible user (Saudi, age 18‑65, inactive contributor)",1. Select the service. 2. Verify the registration form loads. | Expected: Registration form with Step 1 (Engagement Details) is shown,High
TC004,Verify purpose of registration dropdown loads options based on backend business logic,Manual,DE-51713,Eligible user with known last engagement details,"1. On Step 2, open ""Purpose of registration"" dropdown. 2. Verify options. | Expected: Dropdown shows purposes: Annuity eligibility, Annuity upgrade, Establishment owner, Freelancer (localized)",Medium
TC005,Verify submission date field is auto-populated,Manual,DE-51713,User is on Step 2 (Engagement Details),"1. Locate ""Submission date"" field. 2. Observe value. | Expected: Field is pre‑filled with current date (or business logic date)",Medium
TC006,Verify wage selection highlights only eligible wages based on last engagement,Manual,DE-51713,User has a previous engagement that defines eligible wages,1. Open wage dropdown. 2. Identify highlighted wages. | Expected: Only eligible wages are highlighted; others are disabled,High
TC007,Verify selecting an ineligible wage displays eligibility reason from backend,Manual,DE-51713,User selects a wage not highlighted,1. Select a non‑highlighted wage. 2. Observe message. | Expected: System displays eligibility reason returned by backend,High
TC008,Verify wage details are displayed after selecting a wage,Manual,DE-51713,User has selected a wage,"1. Observe the wage details panel. | Expected: Details for the selected wage (e.g., amount, contribution) are shown",Medium
TC009,Verify health record details page shows checkbox list of medical questions,Manual,DE-51713,User has completed Step 2 and proceeds to Step 3,1. Navigate to Health Record Details. 2. Verify list of questions. | Expected: List of medical questions displayed as checkboxes,High
TC010,"Verify selecting any ""yes"" on a medical question moves transaction to workflow",Manual,DE-51713,"User is on health record page and selects ""Yes"" for a medical item","1. Check ""Yes"" for any medical item. 2. Proceed to next step. | Expected: Transaction status set to ""workflow"" (pending doctor review)",High
