Summary,Description,Test Type,Test Set,Precondition,Steps,Priority
Test Case ID,Description,Manual,DE-51897,Precondition,Steps | Expected: Expected Result,Priority
TC001,"Display ""Register as Voluntary Contributor"" service in service list",Manual,DE-51897,User is logged into the application,"Navigate to the services list | Expected: The new service ""Register as Voluntary Contributor"" is visible",High
TC002,Display registration form for eligible users,Manual,DE-51897,"User meets eligibility criteria (Saudi nationality, age 18‑65, inactive contributor, no active GOSI engagement)","Click on the ""Register as Voluntary Contributor"" service | Expected: Registration form is displayed",High
TC003,Show popup for ineligible user when service is selected,Manual,DE-51897,"User does not meet eligibility criteria (e.g., age <18)",Click on the service | Expected: Popup message indicating ineligibility appears,High
TC004,Purpose of registration list filtered by business logic,Manual,DE-51897,User has previous mandatory engagement with known month count,"Fill engagement details | Expected: Only purposes allowed for the user are shown (e.g., Annuity Eligibility, Annuity Upgrade, Establishment Owner, Freelancer)",High
TC005,Submission date auto-populated based on business logic,Manual,DE-51897,User is on the engagement details step,Fill required fields | Expected: Submission date is automatically populated per business rule,Medium
TC006,Wage selection highlights only eligible wages based on last engagement,Manual,DE-51897,User has a prior engagement record,Open wage selection dropdown | Expected: Eligible wages are highlighted / enabled; ineligible wages are disabled,High
TC007,Selecting an ineligible wage shows eligibility reason from backend,Manual,DE-51897,User selects a wage not permitted for their last engagement,Choose an ineligible wage | Expected: A reason for ineligibility is displayed,Medium
TC008,"User can update wage for each year, activation in January of next year",Manual,DE-51897,Current date is before January of next year,Attempt to update wage for next year | Expected: Update is allowed only when month is January of the target year,Medium
TC009,Display wage details after selecting a wage,Manual,DE-51897,User selects a wage,"View the wage details section | Expected: Wage details (amount, description) are displayed",Medium
TC010,Display health record questions as checkboxes,Manual,DE-51897,User proceeds to Health Record Details step,Navigate to step 3 | Expected: List of health questions appears with checkboxes,High
TC011,"Selecting ""Yes"" on any medical item routes transaction to workflow",Manual,DE-51897,"User checks a ""Yes"" option on a medical question","Submit health record | Expected: Transaction status is set to ""Workflow"" (pending doctor review)",High
TC012,No medical selection results in auto‑approve,Manual,DE-51897,User leaves all health questions unchecked,Submit health record | Expected: Request is auto‑approved,High
TC013,User must agree to disclaimer to proceed,Manual,DE-51897,User attempts to proceed without checking the disclaimer,"Click ""Next"" | Expected: Error message prompts user to accept disclaimer",High
TC014,Freelancer must upload supporting document,Manual,DE-51897,User type is Freelancer,Proceed to document upload step | Expected: Upload document field is required; request cannot proceed without upload,High
TC015,"No document required when user is not freelancer and no medical ""Yes""",Manual,DE-51897,"User type is not Freelancer and no medical ""Yes"" selected",Proceed to document step | Expected: Document upload step is skipped,Medium
TC016,Preview request before submission,Manual,DE-51897,User completes all previous steps,"Click ""Preview"" | Expected: Preview screen shows all entered details for review",High
TC017,Successful submission displays confirmation with request ID,Manual,DE-51897,All data valid and submitted,"Click ""Submit"" | Expected: Confirmation message with unique Request ID is displayed",High
TC018,Submission failure displays backend error message,Manual,DE-51897,"Backend returns an error (e.g., server issue)","Click ""Submit"" | Expected: Error message from backend is shown",High
TC019,Validation: active GOSI engagement blocks registration,Manual,DE-51897,User has an active mandatory engagement with GOSI,"Attempt to register | Expected: Message: ""Person has an active engagement with GOSI, cannot be registered as a VIC.""",High
TC020,Validation: age <18 blocks registration,Manual,DE-51897,User age is below 18,"Attempt to register | Expected: Message: ""Person is less than 18 years of age, cannot be registered as a VIC.""",High
TC021,Validation: age >65 blocks registration,Manual,DE-51897,User age exceeds 65,"Attempt to register | Expected: Message: ""Person is more than 65 years of age, cannot be registered as a VIC.""",High
TC022,Validation: NIC mismatch blocks registration,Manual,DE-51897,NIC data does not match,"Attempt to register | Expected: Message: ""No match found with NIC.""",High
TC023,Validation: deceased person cannot be registered,Manual,DE-51897,NIC indicates person is deceased,"Attempt to register | Expected: Message: ""Person is deceased, cannot be added as a VIC.""",High
TC024,Validation: government employee cannot register,Manual,DE-51897,User is a government employee,"Attempt to register | Expected: Message: ""Person is a Government employee, cannot be registered as a VIC.""",High
TC025,Validation: NIC service unavailable after three attempts,Manual,DE-51897,Simulate NIC service down three times,"Attempt to register | Expected: Message: ""NIC service is down, please try again later.""",Medium
TC026,Annuity Eligibility purpose appears only for contributor <300 months with previous mandatory engagements,Manual,DE-51897,Contributor has <300 months and prior mandatory engagement,"View purpose list | Expected: ""Annuity eligibility"" purpose is available",High
TC027,Annuity Upgrade purpose appears for contributor >=300 months,Manual,DE-51897,Contributor has >=300 months,"View purpose list | Expected: ""Annuity upgrade"" purpose is available",High
TC028,Establishment Owner purpose appears when user has establishment and no previous engagement,Manual,DE-51897,User owns an establishment and has no prior engagement,"View purpose list | Expected: ""Establishment owner"" purpose is available",High
TC029,Freelancer purpose appears when user has no prior engagement and provides freelancer document,Manual,DE-51897,User is a freelancer with no prior engagement,"View purpose list | Expected: ""Freelancer"" purpose is available",High
TC030,Latest engagement <=3 months triggers workflow requirement,Manual,DE-51897,Latest engagement is 2 months ago,Submit request | Expected: Request is routed to workflow (pending review),High
TC031,"Any ""Yes"" on medical form routes to doctor workflow",Manual,DE-51897,"User selects ""Yes"" on a medical question",Submit health record | Expected: Request goes to doctor workflow,High
TC032,Verify UI messages display correctly in English and Arabic,Manual,DE-51897,User switches language setting,View validation / confirmation messages | Expected: Messages appear in the selected language (EN/AR),Medium
TC033,"Service appears in Arabic as ""تسجيل مشترك اختياري""",Manual,DE-51897,Language set to Arabic,Locate service in list | Expected: Service name is displayed in Arabic,High
TC034,"Registration form is hidden for ineligible users, only popup shown",Manual,DE-51897,User does not meet eligibility criteria,Click service | Expected: No form is shown; popup with reason appears,High
