"Summary","Description","Test Type","Test Set","Precondition","Steps","Priority"
"Test Case ID","Description","Manual","DE-51840","Precondition","Steps | Expected: Expected Result","Priority"
"TC001","Verify the “Register as Voluntary Contributor” service appears in the service list","Manual","DE-51840","User is logged in as an eligible Saudi citizen (age 18‑65, inactive contributor)","1. Navigate to the service list. 2. Search for “Register as Voluntary Contributor”. | Expected: The service “Register as Voluntary Contributor” is displayed.","High"
"TC002","Verify an ineligible user receives a popup message when trying to access the service","Manual","DE-51840","User is logged in but is ineligible (e.g., non‑Saudi, age <18, age >65, or active contributor)","1. Attempt to select the “Register as Voluntary Contributor” service. | Expected: A popup message appropriate to the ineligibility reason appears (e.g., “المشترك لديه مدة اشتراك نشيطة…”).","High"
"TC003","Verify the registration form is displayed for an eligible user","Manual","DE-51840","Eligible user selects the service","1. Click on “Register as Voluntary Contributor”. | Expected: The registration form (Engagement Details step) is displayed.","High"
"TC004","Verify the “Purpose of Registration” dropdown is populated based on business logic","Manual","DE-51840","User is on the registration form","1. Locate the “Purpose of Registration” field. | Expected: The dropdown shows the correct purposes (Freelancer, Establishment Owner, Annuity Eligibility, Annuity Upgrade) according to the user’s contribution history.","Medium"
"TC005","Verify the “Submission Date” is auto‑populated","Manual","DE-51840","User is on the registration form","1. Observe the “Submission Date” field. | Expected: The field is automatically filled with the current date (or the business‑defined date).","Medium"
"TC006","Verify only eligible wages are highlighted/available in the wage selection","Manual","DE-51840","User has a previous mandatory engagement","1. Open the “Wage” dropdown. | Expected: Only wages eligible for the user’s last engagement are highlighted or enabled.","High"
"TC007","Verify selecting an ineligible wage displays a reason form from the backend","Manual","DE-51840","User selects a wage outside the eligible range","1. Choose an ineligible wage. | Expected: A reason/form explaining ineligibility appears, sourced from the backend.","Medium"
"TC008","Verify wage updates are allowed each year and become effective in January","Manual","DE-51840","Current date is after January of the next calendar year","1. Attempt to update the wage for a future year. | Expected: The update is accepted and will be effective from January of the selected year.","Low"
"TC009","Verify health‑record questions are displayed as checkboxes","Manual","DE-51840","User reaches Step 3 (Health Record Details)","1. View the health‑record section. | Expected: Each medical question appears as a checkbox.","High"
"TC010","Verify selecting “Yes” on any medical item moves the transaction to workflow","Manual","DE-51840","User checks “Yes” on a medical question","1. Check “Yes” for any medical item. 2. Submit the health‑record step. | Expected: The request status changes to “Pending workflow” or similar.","High"
"TC011","Verify that no medical selections result in auto‑approval","Manual","DE-51840","User leaves all medical checkboxes unchecked","1. Submit the health‑record step without any “Yes”. | Expected: The request is auto‑approved without manual review.","High"
"TC012","Verify the user must agree to the disclaimer to proceed","Manual","DE-51840","User is on the health‑record step","1. Try to proceed without checking the disclaimer checkbox. | Expected: An error message prompts the user to accept the disclaimer.","High"
"TC013","Verify a freelancer must upload a supporting document","Manual","DE-51840","User selects “Freelancer” as the purpose","1. Attempt to submit without uploading the freelancer document. | Expected: An error message requires the document upload.","High"
"TC014","Verify no document upload is required for non‑freelancer without medical issues","Manual","DE-51840","User selects a purpose other than Freelancer and has no medical “Yes”","1. Submit the request without a document. | Expected: The request is accepted without a document upload.","Medium"
"TC015","Verify the review step displays a summary of entered data","Manual","DE-51840","User completes all previous steps","1. Reach the review page. | Expected: All entered details (engagement, wage, health, documents) are displayed for confirmation.","High"
"TC016","Verify successful submission shows a confirmation message with request ID","Manual","DE-51840","All required data is correctly filled and submitted","1. Click “Submit”. | Expected: A confirmation message appears containing the request ID.","High"
"TC017","Verify failed submission displays an error message from the backend","Manual","DE-51840","Backend returns an error (e.g., network failure)","1. Submit the request. | Expected: An error message from the backend is displayed (e.g., “Server error, please try again”).","High"
"TC018","Verify validation message for an active GOSI engagement","Manual","DE-51840","User has an active mandatory engagement with GOSI","1. Attempt to register as VIC. | Expected: Popup message: “المشترك لديه مدة اشتراك نشيطة، لا يمكن إضافته كمشترك اختياري” (Person has an active engagement...).","High"
"TC019","Verify validation message for age less than 18","Manual","DE-51840","User is under 18 years old","1. Try to register. | Expected: Popup message: “الشخص أقل من 18 عام، لا يمكن تسجيله كمشترك اختياري”.","High"
"TC020","Verify validation message for age greater than 65","Manual","DE-51840","User is over 65 years old","1. Try to register. | Expected: Popup message: “الشخص أكبر من 65 عام، لا يمكن تسجيله كمشترك اختياري”.","High"
"TC021","Verify validation message for NIC data mismatch","Manual","DE-51840","NIC does not match the user’s information","1. Attempt to register. | Expected: Popup message: “لا يوجد بيانات مطابقة في مركز المعلومات الوطني”.","High"
"TC022","Verify validation message for a deceased person","Manual","DE-51840","User is recorded as deceased in NIC","1. Try to register. | Expected: Popup message: “الشخص متوفي، لا يمكن إضافته كمشترك اختياري”.","High"
"TC023","Verify validation message for a government employee","Manual","DE-51840","User is a government employee","1. Try to register. | Expected: Popup message: “الشخص موظف حكومي، لا يمكن تسجيله كمشترك اختياري”.","High"
"TC024","Verify validation message when NIC service is down","Manual","DE-51840","NIC service is unavailable after three attempts","1. Attempt to register. | Expected: Popup message: “لا يمكن التحقق من مركز المعلومات الوطني، بأمل المحاولة لاحقا”.","High"
