Summary,Description,Test Type,Test Set,Precondition,Steps,Priority
Test Case ID,Description,Manual,,Precondition,Steps | Expected: Expected Result,Priority
TC001,"Verify new service ""Register as Voluntary Contributor"" appears in service list for eligible user",Manual,,"User has valid Superapp credentials and meets eligibility criteria (Saudi, age 18‑65, inactive contributor)","1. Login to Superapp. 2. Navigate to service list. 3. Locate ""Register as Voluntary Contributor"". | Expected: Service ""Register as Voluntary Contributor"" is displayed",High
TC002,Verify popup message appears for ineligible user selecting the service,Manual,,"User has valid Superapp credentials and is ineligible (e.g., has active engagement with GOSI)","1. Login to Superapp. 2. Navigate to service list. 3. Click on ""Register as Voluntary Contributor"". | Expected: Popup message: ""Person has an active engagement with GOSI, cannot be registered as a VIC."" (English/Arabic) appears",High
TC003,Verify registration form is displayed after selecting the service for an eligible user,Manual,,"User has valid Superapp credentials and meets eligibility criteria (Saudi, age 18‑65, inactive contributor)","1. Login to Superapp. 2. Navigate to service list. 3. Select ""Register as Voluntary Contributor"". 4. Verify the registration form loads. | Expected: Registration form with Step 1 (Engagement Details) is shown",High
TC004,Verify purpose of registration dropdown loads options based on backend business logic,Manual,,User has valid Superapp credentials and has known last engagement details,"1. Login to Superapp. 2. Navigate to registration form (Step 2). 3. Open ""Purpose of registration"" dropdown. 4. Verify options. | Expected: Dropdown shows purposes: Annuity eligibility, Annuity upgrade, Establishment owner, Freelancer (localized)",Medium
TC005,Verify submission date field is auto-populated,Manual,,User has valid Superapp credentials and is on Step 2 (Engagement Details),"1. Login to Superapp. 2. Navigate to registration form Step 2. 3. Locate ""Submission date"" field. 4. Observe value. | Expected: Field is pre‑filled with current date (or business logic date)",Medium
TC006,Verify wage selection highlights only eligible wages based on last engagement,Manual,,User has valid Superapp credentials and has a previous engagement that defines eligible wages,1. Login to Superapp. 2. Open wage dropdown. 3. Identify highlighted wages. | Expected: Only eligible wages are highlighted; others are disabled,High
TC007,Verify selecting an ineligible wage displays eligibility reason from backend,Manual,,User has valid Superapp credentials and selects a wage not highlighted,1. Login to Superapp. 2. Select a non‑highlighted wage. 3. Observe message. | Expected: System displays eligibility reason returned by backend,High
TC008,Verify wage details are displayed after selecting a wage,Manual,,User has valid Superapp credentials and has selected a wage,"1. Login to Superapp. 2. Select a wage. 3. Observe the wage details panel. | Expected: Details for the selected wage (e.g., amount, contribution) are shown",Medium
TC009,Verify health record details page shows checkbox list of medical questions,Manual,,User has valid Superapp credentials and has completed Step 2 (Engagement Details),1. Login to Superapp. 2. Navigate to Step 3 (Health Record Details). 3. Verify list of questions. | Expected: List of medical questions displayed as checkboxes,High
TC010,"Verify selecting any ""yes"" on a medical question moves transaction to workflow",Manual,,User has valid Superapp credentials and is on health record page,"1. Login to Superapp. 2. On health record page, check ""Yes"" for any medical item. 3. Proceed to next step. | Expected: Transaction status set to ""workflow"" (pending doctor review)",High
