Feature Name: VIC Self-Registration

| Test Case ID | Test Scenario | Precondition | Test Steps | Expected Result | Priority |
|--------------|---------------|--------------|-----------|-----------------|----------|
| TC001 | Verify new service appears for eligible user | User is Saudi, age 25, inactive contributor | 1. Log in as eligible user. 2. Navigate to services list. | Service "Register as Voluntary Contributor" is displayed. | High |
| TC002 | Verify popup appears for ineligible user (age < 18) | User is Saudi, age 16, inactive contributor | 1. Log in as ineligible user. 2. Select the service. | Popup message "Person is less than 18 years of age, cannot be registered as a VIC." is displayed. | High |
| TC003 | Verify popup appears for age > 65 | User is Saudi, age 66, inactive contributor | 1. Log in as ineligible user. 2. Select the service. | Popup message "Person is more than 65 years of age, cannot be registered as a VIC." displayed. | High |
| TC004 | Verify popup for active engagement | User has active GOSI engagement | 1. Log in as user with active engagement. 2. Select service. | Popup message "Person has an active engagement with GOSI, cannot be registered as a VIC." | High |
| TC005 | Verify popup for government employee | User is a government employee | 1. Log in as government employee. 2. Select service. | Popup "Person is a Government employee, cannot be registered as a VIC." | High |
| TC006 | Verify popup for no NIC match | User not found in NIC | 1. Log in as user with no NIC match. 2. Select service. | Popup "No match found with NIC" | High |
| TC007 | Verify popup for deceased person | User is marked deceased in NIC | 1. Log in as deceased user. 2. Select service. | Popup "Person is deceased, cannot be added as a VIC." | High |
| TC008 | Verify popup for NIC service down | NIC service unavailable | 1. Simulate NIC service down. 2. Try to access service. | Popup "NIC service is down, try again later." | Medium |
| TC009 | Verify registration form loads for eligible user | Eligible user (Saudi, age 25, inactive) | 1. Select service. | Registration form displayed with required fields. | High |
| TC010 | Verify purpose of registration dropdown populated based on business logic | Eligible user with <300 months contribution | 1. Open form. 2. Check Purpose dropdown. | Options include "Annuity eligibility", "Annuity upgrading", "Establishment owner", "Freelancer" as appropriate. | High |
| TC011 | Verify submission date auto-populated | Eligible user | 1. Fill engagement details. | Submission date displayed as per business logic (today's date). | Medium |
| TC012 | Verify wage selection shows only eligible wages | User has last engagement wage X | 1. Scroll to wage selection. | Only wages eligible for user are highlighted/available. | High |
| TC013 | Verify selecting ineligible wage shows eligibility reason | User selects wage not eligible | 1. Choose ineligible wage. | Reason for ineligibility displayed from backend. | High |
| TC014 | Verify wage update allowed for next year (January activation) | User updates wage | 1. Change wage for next year. 2. Save. | System shows wage will be effective from January of next year. | Medium |
| TC015 | Verify wage details displayed after selection | User selects wage | 1. Choose a wage. | Wage details (amount, description) shown. | Medium |
| TC016 | Verify health record questions displayed as checkboxes | User reaches Step 3 | 1. View health record section. | List of medical questions displayed as checkboxes. | High |
| TC017 | Verify selecting any medical "yes" routes to workflow | User checks a medical condition | 1. Select "Yes" for any medical item. | Transaction marked for workflow/doctor review. | High |
| TC018 | Verify no medical selection results in auto-approve | User leaves all medical items unchecked | 1. Leave all medical items unchecked. | Request automatically approved. | High |
| TC019 | Verify disclaimer must be accepted to proceed | User attempts to proceed without accepting | 1. Click Next without checking disclaimer. | System shows error, cannot proceed. | High |
| TC020 | Verify freelancer document upload required | User type Freelancer | 1. Select Freelancer purpose. | Upload document field appears, required. | High |
| TC021 | Verify no document required for non-freelancer without medical yes | Non-freelancer, no medical yes | 1. Complete health step without medical yes. | Upload document field not shown. | Medium |
| TC022 | Verify document required when medical yes selected even if non-freelancer | Non-freelancer with medical yes | 1. Select "Yes" on any medical item. | Upload document field appears. | High |
| TC023 | Verify review step displays all entered data | User on Step 5 | 1. Proceed to review. | All entered details (engagement, health, documents) displayed. | High |
| TC024 | Verify successful submission shows confirmation with request ID | All steps completed correctly | 1. Submit request. | Confirmation message with unique request ID displayed. | High |
| TC025 | Verify failed submission displays error from backend | Backend error on submit | 1. Submit with backend failure. | Error message from backend displayed. | High |
| TC026 | Verify age rule for previous engagement (15-65) | User with previous engagement, age 16 | 1. Try to register as previous engagement user. | System allows registration (age between 15‑65). | Medium |
| TC027 | Verify nationality check (Saudi only) | Non‑Saudi user | 1. Attempt to register. | Popup indicating user must be Saudi nationality. | High |
| TC028 | Verify inactive contributor check | User is active contributor | 1. Attempt to register. | Popup indicating user is active contributor, cannot register. | High |
